Detector;Time;qPKW;vPKW
302:22Din;840;21;48
302:24Din;840;41;49
302:25Din;840;66;49
302:27Din;840;159;50
302:29Din;840;96;47
302:3Din;840;41;49
302:5Din;840;104;48
302:7Din;840;71;49
302:9Din;840;152;50
306:11Din;840;83;48
306:13Din;840;79;48
306:15Din;840;22;50
306:17Din;840;29;49
306:19Din;840;29;48
306:1Din;840;198;50
306:21Din;840;95;52
306:23Din;840;88;51
306:25Din;840;56;50
306:27Din;840;96;50
306:29Din;840;109;51
306:3Din;840;156;49
306:5Din;840;175;49
306:7Din;840;47;50
306:9Din;840;49;50
402:10Din;840;99;50
402:12Din;840;87;50
402:14Din;840;64;50
402:16Din;840;108;50
402:18Din;840;27;50
402:1Din;840;114;47
402:3Din;840;113;50
402:5Din;840;95;50
402:8Din;840;7;48
404:11Din;840;45;50
404:13Din;840;126;49
404:15Din;840;101;50
404:17Din;840;2;50
404:1Din;840;140;49
404:20Din;840;83;49
404:21Din;840;193;48
404:23Din;840;170;48
404:3Din;840;122;49
404:5Din;840;40;50
404:8Din;840;153;49
404:9Din;840;90;50
502:11Din;840;178;49
502:13Din;840;124;48
502:15Din;840;50;47
502:17Din;840;106;50
502:19Din;840;128;49
502:1Din;840;64;48
502:21Din;840;166;48
502:23Din;840;112;50
502:3Din;840;108;47
502:5Din;840;122;49
502:7Din;840;163;50
502:9Din;840;80;47
601:11Din;840;59;48
601:13Din;840;45;49
601:15Din;840;4;48
601:17Din;840;14;50
601:1Din;840;55;49
601:5Din;840;1;50
601:7Din;840;35;47
302:11Din;900;70;47
302:13Din;900;38;46
302:15Din;900;66;49
302:17Din;900;23;48
302:19Din;900;24;50
302:1Din;900;13;51
302:21Din;900;84;50
302:22Din;900;30;51
302:24Din;900;42;47
302:25Din;900;64;48
302:27Din;900;205;52
302:29Din;900;95;51
302:3Din;900;52;50
302:5Din;900;128;50
302:7Din;900;78;49
302:9Din;900;130;50
306:11Din;900;79;51
306:13Din;900;90;51
306:15Din;900;35;51
306:17Din;900;41;47
306:19Din;900;24;48
306:1Din;900;195;47
306:21Din;900;72;50
306:23Din;900;116;50
306:25Din;900;44;50
306:27Din;900;88;49
306:29Din;900;108;49
306:3Din;900;181;50
306:5Din;900;187;49
306:7Din;900;56;49
306:9Din;900;62;51
402:10Din;900;104;49
402:12Din;900;103;50
402:14Din;900;49;49
402:16Din;900;87;50
402:18Din;900;16;49
402:1Din;900;139;49
402:3Din;900;106;50
402:5Din;900;91;47
402:8Din;900;7;47
404:11Din;900;48;48
404:13Din;900;120;50
404:15Din;900;100;49
404:17Din;900;2;49
404:1Din;900;130;49
404:20Din;900;59;50
404:21Din;900;201;49
404:23Din;900;158;48
404:3Din;900;147;49
404:5Din;900;46;49
404:8Din;900;123;49
404:9Din;900;124;50
502:11Din;900;158;52
502:13Din;900;109;50
502:15Din;900;37;51
502:17Din;900;91;51
502:19Din;900;128;47
502:1Din;900;71;46
502:21Din;900;208;49
502:23Din;900;120;50
502:3Din;900;113;49
502:5Din;900;120;49
502:7Din;900;172;48
502:9Din;900;95;51
601:11Din;900;62;51
601:13Din;900;48;48
601:15Din;900;1;49
601:17Din;900;20;48
601:1Din;900;53;50
601:5Din;900;2;52
601:7Din;900;51;47
302:11Din;960;76;50
302:13Din;960;49;48
302:15Din;960;63;49
302:17Din;960;34;45
302:19Din;960;21;47
